,name,mass,fall,year,reclat,reclong
11044,Elephant Moraine 92033,735.6,Found,01/01/1992,-76.03088000000001,156.00672
12808,Graves Nunataks 98002,735.4,Found,01/01/1998,-86.71667,-141.5
20485,Lewis Cliff 87034,734.8,Found,01/01/1987,-84.28333,161.08333000000002
29878,Northwest Africa 6428,734.0,Found,01/01/2010,0.0,0.0
6463,Dar al Gani 692,734.0,Found,01/01/1999,27.08333,16.366670000000003
29541,Northwest Africa 5809,734.0,Found,01/01/2001,0.0,0.0
24423,Miller Range 07047,733.2,Found,01/01/2007,0.0,0.0
4087,Asuka 881036,732.82,Found,01/01/1988,-72.0,26.0
37322,Sayh al Uhaymir 496,732.0,Found,01/01/2009,20.527829999999998,57.4045
11631,Elizabeth,732.0,Found,,42.318,-90.221
7117,Dhofar 1178,732.0,Found,01/01/2005,18.86975,54.840111
40869,Yamato 791668,732.0,Found,01/01/1979,-71.5,35.66667
16800,Jiddat al Harasis 337,731.44,Found,01/01/2006,20.004883,55.71527
11049,Elephant Moraine 92038,731.4,Found,01/01/1992,-76.03705,156.12958
4854,Asuka 881979,731.29,Found,01/01/1988,-72.0,26.0
20753,Lewis Cliff 88021,731.0,Found,01/01/1988,-84.26679,161.33674
26441,Northwest Africa 031,730.0,Found,01/01/1999,30.33333,-5.83333
29847,Northwest Africa 6349,730.0,Found,01/01/2010,0.0,0.0
29540,Northwest Africa 5808,730.0,Found,,0.0,0.0
6063,Dar al Gani 290,730.0,Found,01/01/1997,27.08817,16.0575
30734,Northwest Africa 7759,730.0,Found,01/01/2011,0.0,0.0
19123,Larkman Nunatak 06279,729.8,Found,01/01/2006,0.0,0.0
16643,Jiddat al Harasis 109,729.7,Found,01/01/2002,19.945870000000003,56.927130000000005
41057,Yamato 791865,729.0,Found,01/01/1979,-71.5,35.66667
3130,Allan Hills A81041,728.8,Found,01/01/1981,-76.7219,158.76158
29251,Northwest Africa 5258,728.0,Found,01/01/2005,0.0,0.0
11045,Elephant Moraine 92034,727.8,Found,01/01/1992,-76.04015,156.12511999999998
36372,Roosevelt County 080,727.8,Found,01/01/1968,34.05,-103.5
